case_id,operation,classification,form,inputs_escaped,codepoints_left,codepoints_right,expected_output,actual_output,expected_bool,actual_bool,exception,combining_classes,observation,pass
c19_zwj_emoji,codepoints,success,,text=\U0001f469\u200d\U0001f52c,U+1F469|U+200D|U+1F52C,,"[""U+1F469"", ""U+200D"", ""U+1F52C""]","[""U+1F469"", ""U+200D"", ""U+1F52C""]",,,,,an emoji ZWJ sequence being shown as multiple code points without any grapheme claim,PASS
c20_regional_indicators,codepoints,success,,text=\U0001f1fa\U0001f1f8,U+1F1FA|U+1F1F8,,"[""U+1F1FA"", ""U+1F1F8""]","[""U+1F1FA"", ""U+1F1F8""]",,,,,regional indicator code points remaining separate code points,PASS
c21_sharp_s_key,local_identifier_key,success,,text=\xdf,U+00DF,,"""ss""","""ss""",,,,,ß producing ss through the local key policy,PASS
c22_greek_sigma_key_equal,local_identifier_key_equal,key_equal,,left=\u03a3 right=\u03c3,U+03A3,U+03C3,True,"""σ""",True,True,,,Greek capital sigma and small sigma producing the same key,PASS
c23_greek_final_sigma_key_equal,local_identifier_key_equal,key_equal,,left=\u03c2 right=\u03c3,U+03C2,U+03C3,True,"""σ""",True,True,,,Greek final sigma and small sigma producing the same key,PASS
c24_turkish_dotted_i,local_identifier_key,success,,text=\u0130,U+0130,,"""i̇""","""i̇""",,,,,"Turkish capital dotted I producing i + U+0307, not plain i",PASS
c25_fullwidth_key_equal,local_identifier_key_equal,key_equal,,left=\uff21 right=a,U+FF21,U+0061,True,"""a""",True,True,,,fullwidth Ａ and ascii lowercase a producing the same key,PASS
c26_e_acute_canonical_equal,canonical_equal,canonical_equal,,left=\xe9 right=e\u0301,U+00E9,U+0065|U+0301,True,,True,True,,,precomposed and decomposed é being canonically equal,PASS
c27_angstrom_canonical_equal,canonical_equal,canonical_equal,,left=\u212b right=\xc5,U+212B,U+00C5,True,,True,True,,,angstrom sign and U+00C5 being canonically equal,PASS
c28_ligature_codepoints,codepoints,success,,text=\ufb03,U+FB03,,"[""U+FB03""]","[""U+FB03""]",,,,,ligature U+FB03 as a single code point,PASS
c29_ffi_codepoints,codepoints,success,,text=ffi,U+0066|U+0066|U+0069,,"[""U+0066"", ""U+0066"", ""U+0069""]","[""U+0066"", ""U+0066"", ""U+0069""]",,,,,"ffi as three separate code points, distinct from the ligature",PASS
c30_circled_one_compat_equal,compatibility_equal,compatibility_equal,,left=\u2460 right=1,U+2460,U+0031,True,,True,True,,,circled digit one and ascii 1 being compatibility equal,PASS
c31_e_acute_compat_distinct,compatibility_equal,compatibility_distinct,,left=\xe9 right=e,U+00E9,U+0065,False,,False,False,,,precomposed é and plain e remaining compatibility distinct,PASS
c32_strasse_key_equal,local_identifier_key_equal,key_equal,,left=Stra\xdfe right=STRASSE,U+0053|U+0074|U+0072|U+0061|U+00DF|U+0065,U+0053|U+0054|U+0052|U+0041|U+0053|U+0053|U+0045,True,"""strasse""",True,True,,,Straße and STRASSE producing the same local key,PASS
c33_dotless_i_key_distinct,local_identifier_key_equal,key_distinct,,left=\u0131 right=i,U+0131,U+0069,False,"""ı""",False,False,,,dotless ı and ascii i producing different keys,PASS
c34_nfc_idempotent,is_normalized,idempotent,NFC,form=NFC text=Hello \xe9,U+0048|U+0065|U+006C|U+006C|U+006F|U+0020|U+00E9,,True,,True,True,,,NFC idempotence,PASS
c35_nfd_idempotent,is_normalized,idempotent,NFD,form=NFD text=e\u0301,U+0065|U+0301,,True,,True,True,,,NFD idempotence,PASS
c36_nfkc_idempotent,is_normalized,idempotent,NFKC,form=NFKC text=ffi 1 A,U+0066|U+0066|U+0069|U+0020|U+0031|U+0020|U+0041,,True,,True,True,,,NFKC idempotence,PASS
c37_nfkd_idempotent,is_normalized,idempotent,NFKD,form=NFKD text=e\u0301,U+0065|U+0301,,True,,True,True,,,NFKD idempotence,PASS
c38_concat_not_closed,concatenation_preserves_form,not_closed_under_concatenation,NFC,form=NFC left=a right=\u0301,U+0061,U+0301,False,,False,False,,,two individually NFC strings whose concatenation is not NFC,PASS
c39_lowercase_nfc_reject,normalize_text,invalid_form,nfc,form=nfc text=x,U+0078,,,,,,InvalidFormError,,lowercase nfc being rejected,PASS
c40_unknown_form_reject,normalize_text,invalid_form,NFQ,form=NFQ text=x,U+0078,,,,,,InvalidFormError,,unknown form NFQ being rejected,PASS
c41_codepoints_bytes_reject,codepoints,invalid_text,,text=b'x',,,,,,,InvalidTextError,,bytes text being rejected,PASS
c42_key_bytearray_reject,local_identifier_key,invalid_text,,text=bytearray(b'x'),,,,,,,InvalidTextError,,bytearray text being rejected,PASS
